Conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
RULER_UID:82,Takelot I,Takeloth I,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:83,Osorkon II,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:84,Shoshenq III,Sheshenq III,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:85,Kashta,Kaschta,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:86,Piye,Piya,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:87,Shabaqa,Shabaka,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:88,Taharqa,Taharka,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:89,Psammetichus I,Psammetichos I,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:90,Necho II,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:91,Psammetichus II,Psammetichos II,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:92,Apries,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:93,Amasis,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:94,Psammetichus III,Psammetichos III,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:95,Cambyses,Kambyses,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:96,Darius I,Darios I,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:97,Xerxes I,Xerxes the Great,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:98,Amyrtaios,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:99,Nectanebo I,Nektanebo I,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:100,Nectanebo II,Nektanebo II,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
